,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2015-05-25,0,3,0
2015-05-26,6,0,1
2015-05-27,0,0,1
2015-05-28,6,0,1
2015-05-29,7,0,1
2015-05-30,0,0,4
2015-05-31,0,0,0
2015-06-01,0,0,0
2015-06-02,0,0,0
2015-06-03,3,0,0
2015-06-04,3,1,1
2015-06-05,2,1,1
2015-06-06,0,0,0
2015-06-07,0,0,0
2015-06-08,1,0,1
2015-06-09,5,0,0
2015-06-10,10,0,0
2015-06-11,15,0,0
2015-06-12,10,2,0
2015-06-13,0,0,1
2015-06-14,0,0,0
2015-06-15,8,0,0
2015-06-16,0,2,0
2015-06-17,3,1,0
2015-06-18,4,1,0
2015-06-19,5,0,0
2015-06-20,0,2,2
2015-06-21,0,9,2
2015-06-22,1,3,0
2015-06-23,0,0,0
2015-06-24,4,0,1
2015-06-25,4,0,0
2015-06-26,3,0,0
2015-06-27,0,2,3
2015-06-28,0,0,0
2015-06-29,4,2,0
2015-06-30,4,0,0
2015-07-01,11,0,0
2015-07-02,5,0,0
2015-07-03,3,0,0
2015-07-04,0,0,3
2015-07-05,0,0,0
2015-07-06,1,0,0
2015-07-07,0,0,0
2015-07-08,8,0,0
2015-07-09,5,0,0
2015-07-10,1,0,0
2015-07-11,1,0,0
2015-07-12,2,0,0
2015-07-13,0,0,0
2015-07-14,3,0,0
2015-07-15,3,0,0
2015-07-16,4,0,0
2015-07-17,7,0,0
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,0,0,0
2015-07-21,0,2,0
2015-07-22,14,4,0
2015-07-23,21,0,4
2015-07-24,2,2,1
2015-07-25,0,0,0
2015-07-26,0,0,0
2015-07-27,1,0,0
2015-07-28,7,0,0
2015-07-29,1,0,0
2015-07-30,15,0,0
2015-07-31,1,0,0
2015-08-01,0,3,0
2015-08-02,0,3,0
2015-08-03,4,6,0
2015-08-04,0,0,0
2015-08-05,8,0,0
2015-08-06,11,2,0
2015-08-07,3,2,6
2015-08-08,0,0,1
2015-08-09,0,0,0
2015-08-10,4,2,3
2015-08-11,2,0,3
2015-08-12,2,0,0
2015-08-13,9,0,0
2015-08-14,11,0,0
2015-08-15,0,0,0
2015-08-16,0,0,2
2015-08-17,1,0,0
2015-08-18,2,0,0
2015-08-19,4,0,1
2015-08-20,5,0,0
2015-08-21,0,0,0
2015-08-22,0,0,0
2015-08-23,0,0,0
2015-08-24,2,0,0
2015-08-25,7,1,8
2015-08-26,2,10,3
2015-08-27,18,0,3
2015-08-28,0,1,0
2015-08-29,0,3,0
2015-08-30,2,0,0
2015-08-31,1,0,0
2015-09-01,2,0,0
2015-09-02,1,4,0
2015-09-03,3,0,0
2015-09-04,1,0,1
2015-09-05,0,0,0
2015-09-06,0,0,0
2015-09-07,0,0,0
2015-09-08,0,2,0
2015-09-09,4,3,0
2015-09-10,3,0,0
2015-09-11,3,1,0
2015-09-12,0,1,0
2015-09-13,0,2,0
2015-09-14,3,0,0
2015-09-15,1,4,0
2015-09-16,1,0,0
2015-09-17,3,4,0
2015-09-18,4,3,0
2015-09-19,0,0,0
2015-09-20,1,0,0
2015-09-21,8,0,0
2015-09-22,1,2,0
2015-09-23,8,0,0
2015-09-24,5,0,0
2015-09-25,11,0,0
2015-09-26,0,2,0
2015-09-27,1,15,0
2015-09-28,1,3,0
2015-09-29,6,0,0
2015-09-30,11,2,0
2015-10-01,3,0,0
2015-10-02,6,0,0
2015-10-03,0,0,1
2015-10-04,0,0,0
2015-10-05,2,2,0
2015-10-06,2,0,0
2015-10-07,12,2,0
2015-10-08,5,2,0
2015-10-09,5,2,0
2015-10-10,0,0,0
2015-10-11,0,0,0
2015-10-12,17,0,0
2015-10-13,7,0,0
2015-10-14,10,0,0
2015-10-15,12,0,0
2015-10-16,5,0,0
2015-10-17,0,0,0
2015-10-18,0,0,0
2015-10-19,7,3,0
2015-10-20,5,0,0
2015-10-21,10,3,1
2015-10-22,6,0,0
2015-10-23,5,0,0
2015-10-24,0,0,0
2015-10-25,2,0,0
2015-10-26,6,2,0
2015-10-27,3,0,0
2015-10-28,7,0,0
2015-10-29,7,0,0
2015-10-30,5,3,0
2015-10-31,0,4,0
2015-11-01,0,5,0
2015-11-02,11,1,0
2015-11-03,0,2,0
2015-11-04,19,2,0
2015-11-05,15,2,0
2015-11-06,6,2,0
2015-11-07,0,3,0
2015-11-08,0,1,0
2015-11-09,3,2,2
2015-11-10,0,0,0
2015-11-11,4,2,0
2015-11-12,3,2,2
2015-11-13,1,0,0
2015-11-14,0,4,1
2015-11-15,0,4,0
2015-11-16,2,2,0
2015-11-17,0,0,0
2015-11-18,10,2,0
2015-11-19,2,2,0
2015-11-20,0,0,0
2015-11-21,0,0,0
2015-11-22,0,10,0
2015-11-23,2,4,0
2015-11-24,9,3,0
2015-11-25,19,19,0
2015-11-26,4,1,0
2015-11-27,1,1,0
2015-11-28,0,2,1
2015-11-29,0,0,0
2015-11-30,3,2,1
2015-12-01,3,2,0
2015-12-02,11,2,0
2015-12-03,5,0,0
2015-12-04,1,0,0
2015-12-05,0,4,0
2015-12-06,0,3,0
2015-12-07,1,1,0
2015-12-08,13,2,0
2015-12-09,6,2,0
2015-12-10,0,2,1
2015-12-11,9,1,0
2015-12-12,0,3,0
2015-12-13,0,3,1
2015-12-14,6,20,1
2015-12-15,10,27,0
2015-12-16,4,5,1
2015-12-17,10,2,0
2015-12-18,17,6,0
2015-12-19,1,2,0
2015-12-20,0,0,0
2015-12-21,4,2,0
