,zurb/foundation-sites,twbs/bootstrap,primer/css
2015-03-20,27,0,2
2015-03-21,0,6,0
2015-03-22,0,0,0
2015-03-23,3,3,25
2015-03-24,24,5,11
2015-03-25,3,2,3
2015-03-26,20,18,2
2015-03-27,10,6,16
2015-03-28,7,3,20
2015-03-29,3,17,7
2015-03-30,3,0,18
2015-03-31,8,8,8
2015-04-01,0,2,4
2015-04-02,7,2,4
2015-04-03,7,2,0
2015-04-04,2,4,3
2015-04-05,0,12,2
2015-04-06,14,0,1
2015-04-07,3,16,0
2015-04-08,19,24,1
2015-04-09,8,1,5
2015-04-10,9,1,2
2015-04-11,3,5,0
2015-04-12,0,2,0
2015-04-13,1,12,0
2015-04-14,12,6,0
2015-04-15,0,10,16
2015-04-16,11,8,3
2015-04-17,1,30,0
2015-04-18,0,22,0
2015-04-19,1,7,2
2015-04-20,8,1,1
2015-04-21,6,2,0
2015-04-22,9,8,0
2015-04-23,3,23,1
2015-04-24,13,11,0
2015-04-25,13,12,0
2015-04-26,0,22,0
2015-04-27,1,18,0
2015-04-28,8,15,0
2015-04-29,4,18,1
2015-04-30,7,4,2
2015-05-01,0,2,0
2015-05-02,1,4,0
2015-05-03,0,4,0
2015-05-04,1,4,0
2015-05-05,14,11,0
2015-05-06,7,8,1
2015-05-07,6,2,0
2015-05-08,10,4,0
2015-05-09,0,2,0
2015-05-10,0,2,0
2015-05-11,3,3,0
2015-05-12,5,5,1
2015-05-13,5,11,0
2015-05-14,6,21,0
2015-05-15,10,5,0
2015-05-16,2,6,0
2015-05-17,0,2,0
2015-05-18,5,2,0
2015-05-19,10,0,0
2015-05-20,5,0,0
2015-05-21,1,1,6
2015-05-22,6,2,0
2015-05-23,0,7,0
2015-05-24,0,1,0
2015-05-25,2,0,0
2015-05-26,0,3,3
2015-05-27,1,1,1
2015-05-28,11,7,0
2015-05-29,6,18,2
2015-05-30,5,5,2
2015-05-31,0,1,3
2015-06-01,0,11,11
2015-06-02,5,2,0
2015-06-03,15,2,0
2015-06-04,5,0,0
2015-06-05,2,2,0
2015-06-06,5,0,0
2015-06-07,1,0,0
2015-06-08,4,2,0
2015-06-09,2,9,3
2015-06-10,1,2,15
2015-06-11,3,3,0
2015-06-12,3,0,3
2015-06-13,0,3,1
2015-06-14,0,0,0
2015-06-15,0,1,0
2015-06-16,3,6,0
2015-06-17,0,1,0
2015-06-18,5,11,0
2015-06-19,12,11,0
2015-06-20,3,1,0
2015-06-21,1,1,0
2015-06-22,4,6,0
2015-06-23,7,16,1
2015-06-24,1,0,19
2015-06-25,2,1,2
2015-06-26,0,0,0
2015-06-27,0,2,0
2015-06-28,0,0,0
2015-06-29,3,0,0
2015-06-30,2,0,0
2015-07-01,1,7,0
2015-07-02,5,1,0
2015-07-03,0,4,0
2015-07-04,0,7,0
2015-07-05,0,0,0
2015-07-06,4,0,0
2015-07-07,2,2,0
2015-07-08,5,1,0
2015-07-09,11,1,4
2015-07-10,3,0,0
2015-07-11,0,1,0
2015-07-12,0,1,0
2015-07-13,3,3,0
2015-07-14,1,0,0
2015-07-15,1,0,0
2015-07-16,0,0,0
2015-07-17,11,1,0
2015-07-18,3,8,0
2015-07-19,2,0,0
2015-07-20,0,0,6
2015-07-21,0,0,5
2015-07-22,0,0,0
2015-07-23,4,0,0
2015-07-24,0,1,0
2015-07-25,0,7,0
2015-07-26,0,3,0
2015-07-27,1,3,2
2015-07-28,17,4,0
2015-07-29,17,3,3
2015-07-30,8,0,0
2015-07-31,13,4,0
2015-08-01,0,2,0
2015-08-02,0,0,0
2015-08-03,7,0,0
2015-08-04,8,0,0
2015-08-05,9,31,3
2015-08-06,11,9,0
2015-08-07,2,0,0
2015-08-08,0,8,0
2015-08-09,3,1,0
2015-08-10,13,44,0
2015-08-11,16,13,0
2015-08-12,23,0,0
2015-08-13,15,32,0
2015-08-14,8,9,0
2015-08-15,6,5,0
2015-08-16,0,0,0
2015-08-17,29,14,0
2015-08-18,25,37,0
2015-08-19,20,72,0
2015-08-20,12,44,0
2015-08-21,18,43,0
2015-08-22,3,7,0
2015-08-23,1,45,0
2015-08-24,6,25,0
2015-08-25,2,27,0
2015-08-26,11,25,0
2015-08-27,5,15,2
2015-08-28,0,2,0
2015-08-29,0,10,0
2015-08-30,0,2,0
2015-08-31,2,3,0
2015-09-01,17,6,0
2015-09-02,9,36,0
2015-09-03,5,9,0
2015-09-04,3,0,0
2015-09-05,1,14,0
2015-09-06,6,17,0
2015-09-07,0,3,0
2015-09-08,12,9,2
2015-09-09,6,4,1
2015-09-10,5,10,0
2015-09-11,3,3,15
2015-09-12,1,2,0
2015-09-13,0,1,0
2015-09-14,3,1,0
2015-09-15,5,2,0
2015-09-16,4,6,0
2015-09-17,2,1,0
2015-09-18,9,0,0
2015-09-19,0,3,0
2015-09-20,2,3,0
2015-09-21,3,1,0
2015-09-22,23,5,0
2015-09-23,30,4,0
2015-09-24,35,7,0
2015-09-25,31,9,2
2015-09-26,4,2,0
2015-09-27,3,6,0
2015-09-28,14,6,0
2015-09-29,12,5,2
2015-09-30,28,0,1
2015-10-01,9,10,0
2015-10-02,12,2,2
2015-10-03,3,0,0
2015-10-04,3,3,0
2015-10-05,10,0,0
2015-10-06,20,2,0
2015-10-07,4,7,0
2015-10-08,23,4,0
2015-10-09,43,3,0
2015-10-10,2,3,4
2015-10-11,1,5,0
2015-10-12,7,5,1
2015-10-13,23,11,2
2015-10-14,14,2,2
2015-10-15,3,3,0
2015-10-16,19,5,2
2015-10-17,0,4,0
2015-10-18,3,0,0
2015-10-19,22,4,7
2015-10-20,29,3,0
2015-10-21,32,2,1
2015-10-22,17,1,0
2015-10-23,6,10,0
2015-10-24,0,14,0
2015-10-25,14,4,0
2015-10-26,11,7,0
2015-10-27,7,14,0
2015-10-28,11,7,0
2015-10-29,2,9,0
2015-10-30,6,8,0
2015-10-31,0,3,0
2015-11-01,2,0,0
2015-11-02,14,5,1
2015-11-03,13,9,0
2015-11-04,30,2,0
2015-11-05,35,1,0
2015-11-06,30,1,0
2015-11-07,12,0,0
2015-11-08,9,0,0
2015-11-09,12,0,0
2015-11-10,23,0,0
2015-11-11,16,7,0
2015-11-12,16,6,0
2015-11-13,7,44,0
2015-11-14,14,1,0
2015-11-15,2,45,0
2015-11-16,26,11,6
2015-11-17,53,0,0
2015-11-18,31,0,0
2015-11-19,60,9,0
2015-11-20,50,0,0
2015-11-21,20,0,0
2015-11-22,4,0,0
2015-11-23,26,4,0
2015-11-24,42,3,0
2015-11-25,22,1,0
2015-11-26,5,5,0
2015-11-27,11,1,0
2015-11-28,3,1,0
2015-11-29,2,1,0
2015-11-30,29,35,0
2015-12-01,26,7,0
2015-12-02,26,2,0
2015-12-03,11,5,0
2015-12-04,9,8,0
