,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2020-10-25,0,3,7
2020-10-26,17,4,65
2020-10-27,31,2,86
2020-10-28,31,0,78
2020-10-29,50,2,91
2020-10-30,26,1,86
2020-10-31,6,2,21
2020-11-01,3,0,6
2020-11-02,24,1,48
2020-11-03,45,2,84
2020-11-04,37,5,66
2020-11-05,35,4,77
2020-11-06,30,3,84
2020-11-07,13,3,17
2020-11-08,5,2,9
2020-11-09,25,3,72
2020-11-10,43,6,89
2020-11-11,47,3,92
2020-11-12,46,3,83
2020-11-13,47,1,88
2020-11-14,26,4,20
2020-11-15,6,0,5
2020-11-16,23,0,75
2020-11-17,30,5,92
2020-11-18,40,5,73
2020-11-19,39,3,120
2020-11-20,27,1,87
2020-11-21,22,0,37
2020-11-22,3,0,7
2020-11-23,1,1,65
2020-11-24,1,2,94
2020-11-25,11,1,63
2020-11-26,8,1,47
2020-11-27,6,2,27
2020-11-28,1,0,4
2020-11-29,2,2,4
2020-11-30,26,2,60
2020-12-01,39,1,74
2020-12-02,62,2,93
2020-12-03,39,2,86
2020-12-04,35,4,88
2020-12-05,22,0,18
2020-12-06,10,0,14
2020-12-07,16,2,69
2020-12-08,38,4,89
2020-12-09,36,2,97
2020-12-10,59,2,95
2020-12-11,46,1,78
2020-12-12,16,1,22
2020-12-13,1,0,7
2020-12-14,25,2,50
2020-12-15,30,2,129
2020-12-16,44,2,78
2020-12-17,51,0,99
2020-12-18,35,1,47
2020-12-19,16,1,8
2020-12-20,3,1,6
2020-12-21,28,1,49
2020-12-22,31,0,56
2020-12-23,27,2,67
2020-12-24,4,1,21
2020-12-25,1,0,6
2020-12-26,0,0,2
2020-12-27,0,0,6
2020-12-28,7,0,48
2020-12-29,8,0,42
2020-12-30,13,1,54
2020-12-31,5,1,20
2021-01-01,1,1,5
2021-01-02,0,0,7
2021-01-03,1,0,7
2021-01-04,21,1,27
2021-01-05,40,2,86
2021-01-06,46,0,85
2021-01-07,28,0,79
2021-01-08,43,0,91
2021-01-09,8,0,15
2021-01-10,4,0,8
2021-01-11,28,0,82
2021-01-12,43,1,112
2021-01-13,33,0,107
2021-01-14,27,0,74
2021-01-15,23,2,73
2021-01-16,11,1,21
2021-01-17,1,0,8
2021-01-18,7,0,28
2021-01-19,30,0,62
2021-01-20,44,2,100
2021-01-21,28,0,95
2021-01-22,45,0,104
2021-01-23,13,0,24
2021-01-24,2,0,17
2021-01-25,20,0,98
2021-01-26,30,0,75
2021-01-27,35,0,109
2021-01-28,49,1,90
2021-01-29,37,1,73
2021-01-30,9,0,44
2021-01-31,3,1,4
2021-02-01,23,0,74
2021-02-02,61,1,100
2021-02-03,44,3,86
2021-02-04,68,0,95
2021-02-05,37,2,78
2021-02-06,13,0,27
2021-02-07,3,2,6
2021-02-08,25,1,72
2021-02-09,28,0,79
2021-02-10,37,0,93
2021-02-11,42,0,71
2021-02-12,17,0,82
2021-02-13,11,0,38
2021-02-14,12,0,4
2021-02-15,3,2,48
2021-02-16,10,3,54
2021-02-17,40,0,92
2021-02-18,47,2,68
2021-02-19,47,1,41
2021-02-20,12,0,38
2021-02-21,3,2,15
2021-02-22,29,1,91
2021-02-23,30,0,113
2021-02-24,26,2,99
2021-02-25,40,0,114
2021-02-26,33,1,115
2021-02-27,8,1,33
2021-02-28,6,0,11
2021-03-01,38,2,66
2021-03-02,74,0,77
2021-03-03,59,0,98
2021-03-04,31,0,98
2021-03-05,48,0,133
2021-03-06,7,1,23
2021-03-07,3,0,12
2021-03-08,28,0,60
2021-03-09,44,2,79
2021-03-10,48,1,116
2021-03-11,47,1,93
2021-03-12,73,4,105
2021-03-13,10,0,43
2021-03-14,7,1,22
2021-03-15,30,2,75
2021-03-16,27,2,135
2021-03-17,35,0,89
2021-03-18,41,1,107
2021-03-19,28,1,132
2021-03-20,7,0,41
2021-03-21,3,2,17
2021-03-22,28,1,71
2021-03-23,43,0,113
2021-03-24,31,3,89
2021-03-25,30,0,91
2021-03-26,33,3,33
2021-03-27,29,0,6
2021-03-28,6,0,8
2021-03-29,46,0,62
2021-03-30,42,1,80
2021-03-31,46,1,101
2021-04-01,64,0,75
2021-04-02,53,1,81
2021-04-03,10,2,15
2021-04-04,1,0,12
2021-04-05,33,1,61
2021-04-06,56,1,52
2021-04-07,51,2,89
2021-04-08,38,0,93
2021-04-09,38,0,72
2021-04-10,17,0,14
2021-04-11,7,1,5
2021-04-12,30,1,47
2021-04-13,72,0,74
