,NethermindEth/nethermind,hyperledger/besu,ethereum/go-ethereum
2022-11-09,2,0,4
2022-11-10,1,6,1
2022-11-11,3,1,5
2022-11-12,0,5,0
2022-11-13,0,1,0
2022-11-14,1,2,4
2022-11-15,2,9,1
2022-11-16,3,1,3
2022-11-17,3,4,6
2022-11-18,1,4,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,3,4,2
2022-11-22,3,3,1
2022-11-23,3,2,0
2022-11-24,0,3,4
2022-11-25,2,1,4
2022-11-26,0,1,0
2022-11-27,0,1,0
2022-11-28,2,1,7
2022-11-29,0,1,0
2022-11-30,0,1,1
2022-12-01,0,6,0
2022-12-02,0,6,1
2022-12-03,0,3,1
2022-12-04,0,0,0
2022-12-05,5,2,4
2022-12-06,3,3,1
2022-12-07,2,2,4
2022-12-08,2,0,1
2022-12-09,9,6,3
2022-12-10,0,0,1
2022-12-11,0,4,0
2022-12-12,1,1,0
2022-12-13,2,0,3
2022-12-14,2,0,2
2022-12-15,4,0,1
2022-12-16,3,7,0
2022-12-17,1,0,0
2022-12-18,0,0,0
2022-12-19,2,2,2
2022-12-20,2,4,1
2022-12-21,1,8,1
2022-12-22,1,3,0
2022-12-23,0,7,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,9,0,1
2022-12-28,5,0,2
2022-12-29,4,1,1
2022-12-30,2,1,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,5,1,0
2023-01-03,9,1,11
2023-01-04,5,3,0
2023-01-05,1,2,0
2023-01-06,2,1,4
2023-01-07,0,1,0
2023-01-08,1,0,0
2023-01-09,5,4,3
2023-01-10,5,2,7
2023-01-11,4,5,1
2023-01-12,6,4,4
2023-01-13,4,3,3
2023-01-14,0,0,0
2023-01-15,0,1,1
2023-01-16,3,10,7
2023-01-17,3,6,2
2023-01-18,10,7,2
2023-01-19,2,5,2
2023-01-20,2,5,6
2023-01-21,5,0,0
2023-01-22,0,6,0
2023-01-23,5,5,2
2023-01-24,5,6,2
2023-01-25,1,7,2
2023-01-26,0,1,1
2023-01-27,1,2,7
2023-01-28,0,1,0
2023-01-29,0,0,0
2023-01-30,1,1,3
2023-01-31,2,0,4
2023-02-01,1,4,1
2023-02-02,2,1,3
2023-02-03,2,4,2
2023-02-04,1,1,0
2023-02-05,0,1,1
2023-02-06,3,3,9
2023-02-07,3,1,3
2023-02-08,4,4,4
2023-02-09,8,4,8
2023-02-10,4,2,3
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,12,1,3
2023-02-14,6,3,5
2023-02-15,2,3,4
2023-02-16,3,2,8
2023-02-17,2,1,3
2023-02-18,0,1,0
2023-02-19,0,0,2
2023-02-20,4,3,10
2023-02-21,2,3,5
2023-02-22,8,3,5
2023-02-23,3,1,3
2023-02-24,1,2,0
2023-02-25,0,1,0
2023-02-26,0,0,0
2023-02-27,3,0,1
2023-02-28,3,1,5
2023-03-01,1,2,0
2023-03-02,1,1,1
2023-03-03,7,5,4
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,6,0,5
2023-03-07,9,6,10
2023-03-08,3,4,4
2023-03-09,6,1,5
2023-03-10,1,1,6
2023-03-11,3,2,0
2023-03-12,1,0,0
2023-03-13,3,9,5
2023-03-14,4,0,4
2023-03-15,4,3,1
2023-03-16,2,4,4
2023-03-17,0,3,3
2023-03-18,0,5,0
2023-03-19,0,2,0
2023-03-20,4,3,4
2023-03-21,7,5,6
2023-03-22,8,8,1
2023-03-23,2,3,6
2023-03-24,1,3,2
2023-03-25,0,0,1
2023-03-26,0,0,0
2023-03-27,2,0,3
2023-03-28,2,2,6
2023-03-29,1,1,0
2023-03-30,1,4,7
2023-03-31,3,2,2
2023-04-01,0,0,0
2023-04-02,1,0,0
2023-04-03,3,3,8
2023-04-04,3,4,8
2023-04-05,2,4,2
2023-04-06,1,1,0
2023-04-07,3,0,0
2023-04-08,0,0,1
2023-04-09,0,1,0
2023-04-10,2,0,0
2023-04-11,2,6,0
2023-04-12,1,1,0
2023-04-13,2,3,0
2023-04-14,4,5,0
2023-04-15,0,0,0
2023-04-16,0,1,0
2023-04-17,1,4,4
2023-04-18,2,4,3
2023-04-19,3,2,2
2023-04-20,3,10,5
2023-04-21,1,5,2
2023-04-22,0,0,0
2023-04-23,6,0,0
2023-04-24,6,0,2
2023-04-25,3,0,5
2023-04-26,4,0,5
2023-04-27,5,0,1
2023-04-28,2,4,3
2023-04-29,0,0,0
2023-04-30,1,0,0
2023-05-01,3,1,0
2023-05-02,5,2,7
2023-05-03,4,0,1
2023-05-04,5,6,1
2023-05-05,2,3,3
2023-05-06,0,0,0
2023-05-07,0,0,0
2023-05-08,1,0,3
2023-05-09,5,2,4
2023-05-10,4,2,3
2023-05-11,4,0,7
2023-05-12,2,2,2
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,7,3,1
2023-05-16,1,0,4
2023-05-17,4,3,6
2023-05-18,0,3,0
2023-05-19,1,3,4
2023-05-20,0,0,0
2023-05-21,0,1,0
2023-05-22,3,1,3
2023-05-23,7,3,4
2023-05-24,2,0,3
2023-05-25,3,1,10
2023-05-26,3,7,0
2023-05-27,1,0,0
2023-05-28,0,1,0
2023-05-29,0,0,2
2023-05-30,2,6,4
2023-05-31,1,1,7
2023-06-01,5,1,3
2023-06-02,1,3,1
2023-06-03,2,1,0
2023-06-04,1,2,0
2023-06-05,3,1,4
2023-06-06,4,1,7
2023-06-07,1,2,2
2023-06-08,0,3,1
2023-06-09,3,6,0
2023-06-10,1,0,0
2023-06-11,0,0,0
2023-06-12,7,3,0
2023-06-13,4,5,4
2023-06-14,9,4,3
2023-06-15,1,0,3
2023-06-16,1,2,2
2023-06-17,0,0,0
2023-06-18,0,0,2
2023-06-19,7,1,18
2023-06-20,3,4,5
2023-06-21,5,3,2
2023-06-22,4,5,2
2023-06-23,5,1,1
2023-06-24,0,0,0
2023-06-25,1,0,1
2023-06-26,3,1,0
2023-06-27,2,2,8
2023-06-28,1,5,3
2023-06-29,2,0,0
2023-06-30,3,3,0
2023-07-01,0,0,0
2023-07-02,0,0,1
2023-07-03,2,0,0
2023-07-04,2,2,1
2023-07-05,1,2,1
2023-07-06,7,0,5
2023-07-07,4,1,1
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,2,0,1
2023-07-11,2,1,7
2023-07-12,1,1,4
2023-07-13,1,2,7
2023-07-14,3,0,5
2023-07-15,0,0,4
2023-07-16,0,0,0
2023-07-17,3,1,2
2023-07-18,3,1,2
2023-07-19,0,0,0
2023-07-20,1,1,0
2023-07-21,3,0,0
2023-07-22,0,0,0
2023-07-23,1,0,0
2023-07-24,3,3,5
2023-07-25,2,8,0
2023-07-26,1,6,0
2023-07-27,2,1,6
2023-07-28,2,0,1
2023-07-29,0,0,0
2023-07-30,1,0,0
2023-07-31,3,3,5
2023-08-01,4,1,9
2023-08-02,1,3,1
2023-08-03,1,0,1
2023-08-04,0,1,5
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,0,0,4
2023-08-08,1,1,2
2023-08-09,3,1,3
2023-08-10,1,0,6
2023-08-11,2,0,7
2023-08-12,0,0,1
2023-08-13,1,0,0
2023-08-14,2,1,3
2023-08-15,0,2,4
2023-08-16,1,1,4
2023-08-17,3,3,2
2023-08-18,4,2,3
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,3,3,2
2023-08-22,1,5,8
2023-08-23,3,3,18
2023-08-24,1,7,3
2023-08-25,2,2,7
2023-08-26,0,0,6
2023-08-27,0,1,0
2023-08-28,4,4,1
2023-08-29,2,1,1
2023-08-30,1,1,1
2023-08-31,4,1,4
2023-09-01,0,1,0
2023-09-02,1,0,0
2023-09-03,0,0,0
2023-09-04,2,0,2
2023-09-05,4,1,1
2023-09-06,4,2,2
2023-09-07,3,4,3
2023-09-08,0,1,2
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,6,2,2
2023-09-12,0,0,2
2023-09-13,4,5,4
2023-09-14,0,2,8
2023-09-15,3,3,3
2023-09-16,0,0,0
2023-09-17,0,1,7
2023-09-18,5,2,0
2023-09-19,6,3,7
2023-09-20,1,3,1
2023-09-21,4,3,1
2023-09-22,3,3,6
2023-09-23,0,0,0
2023-09-24,0,1,0
2023-09-25,0,1,8
2023-09-26,5,4,5
2023-09-27,2,7,1
2023-09-28,3,6,8
2023-09-29,1,1,8
2023-09-30,0,1,0
2023-10-01,0,0,0
2023-10-02,1,1,1
2023-10-03,2,1,6
2023-10-04,1,1,3
2023-10-05,1,7,0
2023-10-06,1,2,0
2023-10-07,1,0,1
2023-10-08,0,1,0
2023-10-09,1,1,0
2023-10-10,1,6,8
2023-10-11,5,1,6
2023-10-12,1,2,3
2023-10-13,2,5,9
2023-10-14,1,0,0
2023-10-15,0,0,0
2023-10-16,0,0,2
2023-10-17,3,5,13
2023-10-18,4,4,1
2023-10-19,1,1,3
2023-10-20,0,2,1
2023-10-21,2,0,0
2023-10-22,0,0,2
2023-10-23,2,0,7
2023-10-24,3,2,0
2023-10-25,2,6,5
2023-10-26,2,4,1
2023-10-27,2,5,3
2023-10-28,1,0,0
2023-10-29,0,0,0
2023-10-30,7,1,0
2023-10-31,2,5,5
2023-11-01,1,2,0
2023-11-02,1,2,1
2023-11-03,1,2,2
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,1,3,0
2023-11-07,1,2,4
2023-11-08,2,4,1
2023-11-09,3,2,3
2023-11-10,1,3,6
2023-11-11,0,0,0
2023-11-12,0,1,0
2023-11-13,0,2,0
2023-11-14,0,5,5
2023-11-15,0,1,7
2023-11-16,2,1,0
2023-11-17,0,2,2
2023-11-18,1,0,0
2023-11-19,0,0,0
2023-11-20,2,3,4
2023-11-21,4,6,6
2023-11-22,3,4,7
2023-11-23,1,1,3
2023-11-24,2,0,1
2023-11-25,1,0,1
2023-11-26,0,0,0
2023-11-27,1,0,2
2023-11-28,2,1,8
2023-11-29,2,3,2
2023-11-30,2,1,1
2023-12-01,2,4,3
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,3,2,4
2023-12-05,2,5,3
2023-12-06,6,1,1
2023-12-07,2,11,2
2023-12-08,4,0,5
2023-12-09,0,0,0
2023-12-10,0,0,0
2023-12-11,7,4,0
2023-12-12,5,4,3
2023-12-13,4,3,2
2023-12-14,6,8,0
2023-12-15,3,0,1
2023-12-16,0,0,0
2023-12-17,0,0,0
2023-12-18,3,3,10
2023-12-19,4,0,5
2023-12-20,2,1,4
2023-12-21,3,1,1
2023-12-22,3,0,3
2023-12-23,1,0,0
2023-12-24,2,0,0
2023-12-25,0,0,0
2023-12-26,3,0,1
2023-12-27,3,0,0
2023-12-28,10,0,2
2023-12-29,4,0,0
2023-12-30,0,0,2
2023-12-31,0,1,0
2024-01-01,1,0,0
2024-01-02,3,0,2
2024-01-03,6,5,1
2024-01-04,5,2,2
2024-01-05,3,2,1
2024-01-06,1,1,0
2024-01-07,1,1,0
2024-01-08,4,5,4
2024-01-09,5,6,3
2024-01-10,5,3,3
2024-01-11,3,4,2
2024-01-12,10,7,9
2024-01-13,2,0,0
2024-01-14,3,1,2
2024-01-15,7,2,5
2024-01-16,6,2,2
2024-01-17,1,2,2
2024-01-18,1,3,1
2024-01-19,4,6,2
2024-01-20,1,0,1
2024-01-21,3,0,0
2024-01-22,5,4,1
2024-01-23,3,1,10
2024-01-24,3,6,4
2024-01-25,4,6,0
2024-01-26,5,1,1
2024-01-27,1,0,1
2024-01-28,2,0,0
2024-01-29,4,6,3
2024-01-30,5,10,1
2024-01-31,4,11,2
2024-02-01,0,3,0
2024-02-02,4,7,3
2024-02-03,0,0,0
2024-02-04,0,1,1
2024-02-05,1,0,4
2024-02-06,2,6,2
2024-02-07,1,4,5
2024-02-08,7,4,5
