,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2019-07-20,0,6,0
2019-07-21,0,1,0
2019-07-22,2,2,4
2019-07-23,0,0,5
2019-07-24,1,3,1
2019-07-25,2,0,4
2019-07-26,1,4,6
2019-07-27,0,2,0
2019-07-28,0,0,0
2019-07-29,1,0,12
2019-07-30,2,0,4
2019-07-31,2,0,1
2019-08-01,4,13,7
2019-08-02,0,6,2
2019-08-03,0,13,0
2019-08-04,0,0,1
2019-08-05,0,5,8
2019-08-06,11,0,3
2019-08-07,3,0,2
2019-08-08,4,14,1
2019-08-09,1,1,2
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,0
2019-08-13,0,9,1
2019-08-14,1,0,0
2019-08-15,4,0,0
2019-08-16,2,0,0
2019-08-17,0,0,0
2019-08-18,0,1,0
2019-08-19,5,2,0
2019-08-20,1,0,0
2019-08-21,1,0,1
2019-08-22,1,2,1
2019-08-23,0,0,0
2019-08-24,0,9,0
2019-08-25,0,0,0
2019-08-26,0,4,2
2019-08-27,5,12,0
2019-08-28,3,6,0
2019-08-29,2,0,2
2019-08-30,0,2,0
2019-08-31,0,1,0
2019-09-01,0,0,0
2019-09-02,4,1,0
2019-09-03,2,5,1
2019-09-04,2,13,0
2019-09-05,4,8,0
2019-09-06,2,4,0
2019-09-07,0,0,0
2019-09-08,0,2,0
2019-09-09,2,6,7
2019-09-10,3,7,3
2019-09-11,4,5,0
2019-09-12,7,0,1
2019-09-13,1,0,0
2019-09-14,0,0,0
2019-09-15,0,11,0
2019-09-16,4,6,0
2019-09-17,1,2,5
2019-09-18,4,6,0
2019-09-19,0,6,1
2019-09-20,0,2,2
2019-09-21,0,8,0
2019-09-22,0,0,0
2019-09-23,3,1,2
2019-09-24,2,5,4
2019-09-25,1,14,9
2019-09-26,1,6,8
2019-09-27,0,3,4
2019-09-28,0,8,0
2019-09-29,0,12,8
2019-09-30,0,2,2
2019-10-01,0,13,2
2019-10-02,3,5,3
2019-10-03,0,7,2
2019-10-04,0,7,1
2019-10-05,0,5,0
2019-10-06,0,2,0
2019-10-07,0,7,3
2019-10-08,2,1,0
2019-10-09,3,1,4
2019-10-10,3,2,4
2019-10-11,0,5,10
2019-10-12,5,6,2
2019-10-13,0,0,0
2019-10-14,1,4,0
2019-10-15,1,16,2
2019-10-16,4,3,4
2019-10-17,3,9,5
2019-10-18,2,4,1
2019-10-19,0,2,0
2019-10-20,0,0,0
2019-10-21,2,7,2
2019-10-22,1,1,4
2019-10-23,0,0,11
2019-10-24,3,0,5
2019-10-25,0,2,4
2019-10-26,0,1,0
2019-10-27,0,2,0
2019-10-28,2,2,0
2019-10-29,0,3,17
2019-10-30,0,20,9
2019-10-31,2,2,16
2019-11-01,0,3,0
2019-11-02,0,0,0
2019-11-03,0,6,0
2019-11-04,0,3,2
2019-11-05,4,9,1
2019-11-06,3,0,3
2019-11-07,1,2,12
2019-11-08,2,4,11
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,1,10,0
2019-11-12,1,10,1
2019-11-13,0,3,2
2019-11-14,4,1,2
2019-11-15,2,1,5
2019-11-16,0,4,0
2019-11-17,0,5,0
2019-11-18,0,2,3
2019-11-19,2,4,4
2019-11-20,7,1,0
2019-11-21,2,1,0
2019-11-22,2,1,0
