,bitcoin/bitcoin,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj
2023-06-19,10,0,0
2023-06-20,13,0,0
2023-06-21,19,0,0
2023-06-22,10,0,0
2023-06-23,34,0,0
2023-06-24,0,0,0
2023-06-25,0,0,0
2023-06-26,7,0,0
2023-06-27,21,0,0
2023-06-28,24,0,0
2023-06-29,22,0,0
2023-06-30,16,0,0
2023-07-01,3,0,0
2023-07-02,0,0,0
2023-07-03,7,0,0
2023-07-04,5,0,0
2023-07-05,0,0,1
2023-07-06,13,0,0
2023-07-07,18,0,1
2023-07-08,1,0,0
2023-07-09,1,0,0
2023-07-10,12,0,1
2023-07-11,8,0,0
2023-07-12,10,0,0
2023-07-13,9,0,0
2023-07-14,10,0,1
2023-07-15,0,0,0
2023-07-16,3,0,7
2023-07-17,12,0,0
2023-07-18,10,0,2
2023-07-19,21,0,0
2023-07-20,16,0,1
2023-07-21,11,0,0
2023-07-22,6,0,0
2023-07-23,1,0,0
2023-07-24,19,0,0
2023-07-25,26,0,0
2023-07-26,17,0,0
2023-07-27,10,0,4
2023-07-28,3,0,2
2023-07-29,0,0,0
2023-07-30,3,0,0
2023-07-31,7,0,1
2023-08-01,14,0,4
2023-08-02,7,0,0
2023-08-03,25,0,0
2023-08-04,6,0,0
2023-08-05,15,0,0
2023-08-06,1,0,0
2023-08-07,14,0,0
2023-08-08,7,0,25
2023-08-09,8,0,11
2023-08-10,7,0,10
2023-08-11,3,0,1
2023-08-12,0,0,0
2023-08-13,1,0,0
2023-08-14,15,0,0
2023-08-15,9,0,0
2023-08-16,6,0,0
2023-08-17,26,4,0
2023-08-18,14,0,0
2023-08-19,0,0,0
2023-08-20,0,1,0
2023-08-21,5,0,0
2023-08-22,17,0,0
2023-08-23,30,0,15
2023-08-24,30,0,0
2023-08-25,11,0,10
2023-08-26,2,0,0
2023-08-27,8,0,0
2023-08-28,8,0,0
2023-08-29,9,0,0
2023-08-30,10,0,0
2023-08-31,7,0,0
2023-09-01,8,0,9
2023-09-02,1,0,5
2023-09-03,1,0,0
2023-09-04,5,0,0
2023-09-05,14,0,3
2023-09-06,9,0,1
2023-09-07,19,0,6
2023-09-08,7,0,0
2023-09-09,2,0,0
2023-09-10,5,0,0
2023-09-11,3,0,0
2023-09-12,23,0,23
2023-09-13,28,0,0
2023-09-14,21,0,8
2023-09-15,16,0,0
2023-09-16,2,0,9
2023-09-17,0,0,0
2023-09-18,1,0,0
2023-09-19,16,0,1
2023-09-20,16,0,0
2023-09-21,6,0,7
2023-09-22,3,0,0
2023-09-23,2,0,0
2023-09-24,1,0,0
