,grafana/grafana,netdata/netdata,cacti/cacti
2013-07-17,6,0.0,0
2013-07-18,8,0.0,0
2013-07-19,0,0.0,0
2013-07-20,4,0.0,0
2013-07-21,0,0.0,6
2013-07-22,10,0.0,4
2013-07-23,15,0.0,0
2013-07-24,7,0.0,0
2013-07-25,3,0.0,0
2013-07-26,7,0.0,0
2013-07-27,6,0.0,0
2013-07-28,0,0.0,0
2013-07-29,18,0.0,0
2013-07-30,7,0.0,0
2013-07-31,4,0.0,0
2013-08-01,2,0.0,0
2013-08-02,2,0.0,0
2013-08-03,0,0.0,0
2013-08-04,0,0.0,1
2013-08-05,0,0.0,0
2013-08-06,0,0.0,0
2013-08-07,4,0.0,1
2013-08-08,0,0.0,2
2013-08-09,2,0.0,0
2013-08-10,0,0.0,0
2013-08-11,0,0.0,0
2013-08-12,0,0.0,0
2013-08-13,2,0.0,2
2013-08-14,8,0.0,0
2013-08-15,0,0.0,0
2013-08-16,6,0.0,0
2013-08-17,0,0.0,0
2013-08-18,0,0.0,1
2013-08-19,0,0.0,0
2013-08-20,5,0.0,0
2013-08-21,4,0.0,0
2013-08-22,8,0.0,0
2013-08-23,9,0.0,0
2013-08-24,1,0.0,2
2013-08-25,0,0.0,1
2013-08-26,30,0.0,0
2013-08-27,16,0.0,0
2013-08-28,5,0.0,0
2013-08-29,4,0.0,0
2013-08-30,19,0.0,0
2013-08-31,0,0.0,0
2013-09-01,0,0.0,0
2013-09-02,1,0.0,0
2013-09-03,3,0.0,0
2013-09-04,4,0.0,0
2013-09-05,0,0.0,0
2013-09-06,5,0.0,0
2013-09-07,1,0.0,1
2013-09-08,0,0.0,0
2013-09-09,1,0.0,0
2013-09-10,1,0.0,0
2013-09-11,12,0.0,0
2013-09-12,1,0.0,0
2013-09-13,9,0.0,0
2013-09-14,1,0.0,0
2013-09-15,8,0.0,0
2013-09-16,17,0.0,0
2013-09-17,10,0.0,0
2013-09-18,0,0.0,0
2013-09-19,9,0.0,0
2013-09-20,13,0.0,0
2013-09-21,0,0.0,1
2013-09-22,0,0.0,0
2013-09-23,4,0.0,0
2013-09-24,0,0.0,0
2013-09-25,3,0.0,0
2013-09-26,2,0.0,0
2013-09-27,1,0.0,0
2013-09-28,0,0.0,0
2013-09-29,1,0.0,0
2013-09-30,7,0.0,0
2013-10-01,3,0.0,0
2013-10-02,0,0.0,0
2013-10-03,0,0.0,0
2013-10-04,0,0.0,0
2013-10-05,1,0.0,0
2013-10-06,0,0.0,0
2013-10-07,1,0.0,0
2013-10-08,1,0.0,0
2013-10-09,5,0.0,0
2013-10-10,2,0.0,0
2013-10-11,4,0.0,0
2013-10-12,3,0.0,0
2013-10-13,0,2.0,0
2013-10-14,3,-1.2000000000000002,0
2013-10-15,6,-0.24,0
2013-10-16,3,-0.11199999999999999,0
2013-10-17,8,-0.06719999999999994,0
2013-10-18,1,-0.04569600000000001,0
2013-10-19,0,-0.03351040000000002,0
2013-10-20,0,-0.025850880000000017,0
2013-10-21,3,-0.02068070400000002,0
2013-10-22,3,10.9829958656,0
2013-10-23,4,-6.600000000000001,0
2013-10-24,3,-1.3199999999999998,0
2013-10-25,7,-0.6159999999999999,0
2013-10-26,0,-0.36959999999999965,0
2013-10-27,0,-0.25132800000000005,0
2013-10-28,3,-0.1843072000000001,0
2013-10-29,2,-0.14217984000000009,0
2013-10-30,9,-0.1137438720000001,0
2013-10-31,1,-0.09352273920000011,0
2013-11-01,8,0.0,0
2013-11-02,0,0.0,0
2013-11-03,0,0.0,0
2013-11-04,2,0.0,0
2013-11-05,3,0.0,0
2013-11-06,3,0.0,0
2013-11-07,4,0.0,0
2013-11-08,1,0.0,0
2013-11-09,0,0.0,0
2013-11-10,0,0.0,0
2013-11-11,0,0.0,0
2013-11-12,1,0.0,0
2013-11-13,1,0.0,0
2013-11-14,2,0.0,0
2013-11-15,7,0.0,0
2013-11-16,0,0.0,0
2013-11-17,0,0.0,0
2013-11-18,0,0.0,0
2013-11-19,4,0.0,0
2013-11-20,0,0.0,0
2013-11-21,0,0.0,0
2013-11-22,0,0.0,0
2013-11-23,1,0.0,0
2013-11-24,0,0.0,0
2013-11-25,1,0.0,0
2013-11-26,2,0.0,0
2013-11-27,0,0.0,0
2013-11-28,0,0.0,0
2013-11-29,2,0.0,0
2013-11-30,0,0.0,0
2013-12-01,0,0.0,0
2013-12-02,6,0.0,0
2013-12-03,12,0.0,0
2013-12-04,7,0.0,0
2013-12-05,2,0.0,0
2013-12-06,6,0.0,0
2013-12-07,2,0.0,0
2013-12-08,4,0.0,0
2013-12-09,5,0.0,0
2013-12-10,5,0.0,0
2013-12-11,4,0.0,0
2013-12-12,5,0.0,0
2013-12-13,4,0.0,0
2013-12-14,0,0.0,0
2013-12-15,3,0.0,0
2013-12-16,3,0.0,0
2013-12-17,4,0.0,0
2013-12-18,0,0.0,0
2013-12-19,2,0.0,0
2013-12-20,6,0.0,0
2013-12-21,1,0.0,0
2013-12-22,4,0.0,0
2013-12-23,7,0.0,0
2013-12-24,11,0.0,0
2013-12-25,4,0.0,0
2013-12-26,10,0.0,0
2013-12-27,7,0.0,0
2013-12-28,5,0.0,0
2013-12-29,12,0.0,0
2013-12-30,6,0.0,0
2013-12-31,2,0.0,0
2014-01-01,5,0.0,0
2014-01-02,2,0.0,0
2014-01-03,10,0.0,0
2014-01-04,2,0.0,0
2014-01-05,1,0.0,0
2014-01-06,7,0.0,0
2014-01-07,3,0.0,0
2014-01-08,2,0.0,0
2014-01-09,0,0.0,0
2014-01-10,1,0.0,0
2014-01-11,1,0.0,0
2014-01-12,5,0.0,0
2014-01-13,1,0.0,0
2014-01-14,3,0.0,0
2014-01-15,1,0.0,0
2014-01-16,0,0.0,0
2014-01-17,0,0.0,0
2014-01-18,0,0.0,0
2014-01-19,5,0.0,0
2014-01-20,16,0.0,0
2014-01-21,6,0.0,0
2014-01-22,4,0.0,0
2014-01-23,11,0.0,0
2014-01-24,6,0.0,0
2014-01-25,1,0.0,0
2014-01-26,0,0.0,0
2014-01-27,4,0.0,0
2014-01-28,1,0.0,0
2014-01-29,2,0.0,0
2014-01-30,0,0.0,0
2014-01-31,1,0.0,0
2014-02-01,16,0.0,0
2014-02-02,1,0.0,0
2014-02-03,0,0.0,0
2014-02-04,0,0.0,0
2014-02-05,18,0.0,0
2014-02-06,5,0.0,0
2014-02-07,7,0.0,0
2014-02-08,8,0.0,0
2014-02-09,7,0.0,0
2014-02-10,4,0.0,0
2014-02-11,6,0.0,0
2014-02-12,9,0.0,0
2014-02-13,6,0.0,0
2014-02-14,3,0.0,0
2014-02-15,7,0.0,0
2014-02-16,0,0.0,0
2014-02-17,1,0.0,0
2014-02-18,4,0.0,0
2014-02-19,3,0.0,0
2014-02-20,3,0.0,0
2014-02-21,5,0.0,0
2014-02-22,0,0.0,0
2014-02-23,2,0.0,0
2014-02-24,3,0.0,0
2014-02-25,5,0.0,0
2014-02-26,9,0.0,0
2014-02-27,5,0.0,0
2014-02-28,4,0.0,0
2014-03-01,2,0.0,0
2014-03-02,4,0.0,0
2014-03-03,2,0.0,0
2014-03-04,5,0.0,0
2014-03-05,5,0.0,0
2014-03-06,2,0.0,0
2014-03-07,6,0.0,0
2014-03-08,2,0.0,0
2014-03-09,2,0.0,0
2014-03-10,4,0.0,0
2014-03-11,3,0.0,0
2014-03-12,2,0.0,0
2014-03-13,0,0.0,0
2014-03-14,0,0.0,0
2014-03-15,0,0.0,0
2014-03-16,1,0.0,0
2014-03-17,3,0.0,0
2014-03-18,6,0.0,0
2014-03-19,5,0.0,0
2014-03-20,0,0.0,0
2014-03-21,0,0.0,0
2014-03-22,0,2.0,0
2014-03-23,6,9.8,0
2014-03-24,5,-5.840000000000002,0
2014-03-25,0,7.968,0
2014-03-26,13,-3.8032000000000004,0
2014-03-27,6,1.5287040000000003,0
2014-03-28,3,-1.2384384000000006,0
2014-03-29,2,8.862993920000001,0
2014-03-30,3,-3.348895744,7
2014-03-31,4,-3.155769446400001,0
2014-04-01,4,-0.9704230912000003,0
2014-04-02,4,2.5737980927999997,0
2014-04-03,4,-0.025110528000000798,0
2014-04-04,2,-2.6104866816000003,0
2014-04-05,8,-0.7853086720000002,0
2014-04-06,6,4.5945759744,0
2014-04-07,3,-0.23772784640000033,0
2014-04-08,3,-3.4738099200000003,0
2014-04-09,2,1.9582191616,0
2014-04-10,5,-1.3856108544000003,0
2014-04-11,3,-0.34504038400000003,0
2014-04-12,0,7.862802739199999,0
2014-04-13,2,3.1597841407999994,0
2014-04-14,2,-4.7603899392,0
2014-04-15,2,-1.9830874112000005,0
2014-04-16,3,1.2412122112000001,0
2014-04-17,4,4.399266304,0
2014-04-18,1,-3.088400793600001,0
2014-04-19,0,-2.5732641792,0
2014-04-20,2,-1.0070525952,0
2014-04-21,7,1.3720681472,0
2014-04-22,3,0.4124736511999998,0
2014-04-23,2,0.3308967935999996,0
2014-04-24,1,4.2844883968,0
2014-04-25,3,-2.142939545600001,0
2014-04-26,0,3.7749088256,0
2014-04-27,3,9.6605894656,0
2014-04-28,3,-5.5386572800000025,0
2014-04-29,0,0.2996700160000003,0
2014-04-30,7,-3.6753629184000003,0
2014-05-01,2,10.8197641216,0
2014-05-02,0,6.1402996735999995,0
2014-05-03,2,-2.259210547200002,0
2014-05-04,0,-1.4028632063999993,0
2014-05-05,1,-3.9109030912000007,0
2014-05-06,4,-2.1867967488,0
2014-05-07,0,2.0864269311999997,0
2014-05-08,0,-2.321041408000001,0
2014-05-09,5,3.3396589567999997,0
2014-05-10,0,3.245008486399999,0
2014-05-11,0,-2.2070338560000007,0
2014-05-12,0,-3.0986277888,0
2014-05-13,2,0.024541593599999967,0
2014-05-14,0,-2.0942125056,0
2014-05-15,3,-0.8082719744,0
2014-05-16,0,4.4882227199999996,0
2014-05-17,0,-3.3395185664000007,0
2014-05-18,0,1.1521118207999999,0
2014-05-19,5,2.3641862143999997,0
2014-05-20,16,7.1218004992,0
2014-05-21,0,-4.7354227712000005,0
2014-05-22,3,1.2080198655999999,0
2014-05-23,6,-1.4447232000000003,0
2014-05-24,0,0.6953958400000002,0
2014-05-25,4,-1.6950620160000005,0
2014-05-26,1,-1.492030464,0
2014-05-27,6,-0.6677223424000001,0
2014-05-28,0,-0.4327794688000001,0
2014-05-29,0,-0.2930575360000002,0
2014-05-30,5,3.8426699776,0
2014-05-31,7,-1.5102204928000003,0
2014-06-01,1,5.8590493696,0
2014-06-02,5,-2.5798465536000013,0
2014-06-03,6,-2.2389020671999997,0
2014-06-04,1,-0.7569919999999999,0
2014-06-05,0,-0.4370687999999998,0
2014-06-06,14,0.70440704,0
2014-06-07,7,-0.8172692480000002,0
2014-06-08,6,-0.28833710080000013,0
2014-06-09,2,-0.16273541120000007,0
2014-06-10,1,-0.11379517440000006,0
2014-06-11,4,-0.039852134400000024,0
2014-06-12,4,-0.01675520000000001,0
2014-06-13,2,-0.012925440000000009,0
2014-06-14,7,0.989659648,0
2014-06-15,0,2.3914979328,2
2014-06-16,3,-1.9200000000000004,0
2014-06-17,2,-0.416,0
2014-06-18,1,-0.20159999999999995,0
2014-06-19,1,-0.12364799999999992,0
2014-06-20,8,-0.08529920000000002,0
2014-06-21,6,-0.06319104000000003,0
2014-06-22,9,-0.049116672000000035,0
2014-06-23,0,-0.03952312320000004,0
2014-06-24,2,-0.025506201600000028,0
2014-06-25,2,0.0,0
2014-06-26,1,0.0,0
2014-06-27,4,0.0,0
2014-06-28,0,0.0,4
2014-06-29,0,0.0,0
2014-06-30,10,0.0,0
2014-07-01,2,0.0,0
2014-07-02,4,0.0,0
2014-07-03,5,0.0,0
2014-07-04,1,0.0,0
2014-07-05,0,0.0,0
2014-07-06,0,0.0,0
2014-07-07,1,0.0,0
2014-07-08,1,0.0,0
2014-07-09,0,0.0,0
2014-07-10,0,0.0,0
2014-07-11,0,0.0,0
2014-07-12,0,0.0,0
2014-07-13,5,0.0,0
2014-07-14,5,0.0,0
2014-07-15,3,0.0,0
2014-07-16,5,0.0,0
2014-07-17,2,0.0,0
2014-07-18,1,0.0,0
2014-07-19,3,0.0,1
2014-07-20,4,0.0,0
2014-07-21,2,0.0,0
2014-07-22,1,0.0,0
2014-07-23,5,0.0,0
2014-07-24,0,0.0,0
2014-07-25,4,0.0,0
2014-07-26,0,0.0,0
2014-07-27,0,0.0,0
2014-07-28,6,0.0,0
2014-07-29,5,0.0,0
2014-07-30,6,0.0,0
2014-07-31,17,0.0,0
2014-08-01,4,0.0,0
2014-08-02,0,0.0,0
2014-08-03,4,0.0,0
2014-08-04,3,0.0,0
2014-08-05,5,0.0,0
2014-08-06,10,0.0,0
2014-08-07,16,0.0,0
2014-08-08,15,0.0,0
2014-08-09,7,0.0,0
2014-08-10,11,0.0,0
2014-08-11,25,0.0,0
2014-08-12,13,0.0,0
2014-08-13,14,0.0,0
2014-08-14,9,0.0,0
2014-08-15,12,0.0,0
2014-08-16,9,0.0,0
2014-08-17,3,0.0,0
2014-08-18,6,0.0,2
2014-08-19,5,0.0,0
2014-08-20,11,0.0,0
2014-08-21,14,0.0,0
2014-08-22,10,0.0,0
2014-08-23,2,0.0,0
2014-08-24,3,0.0,0
2014-08-25,8,0.0,0
2014-08-26,13,0.0,0
2014-08-27,6,0.0,0
2014-08-28,3,0.0,0
2014-08-29,7,0.0,0
2014-08-30,0,0.0,0
2014-08-31,0,0.0,0
2014-09-01,3,0.0,0
2014-09-02,5,0.0,0
2014-09-03,11,0.0,0
2014-09-04,10,0.0,0
2014-09-05,10,0.0,0
2014-09-06,5,0.0,0
2014-09-07,1,0.0,0
2014-09-08,2,0.0,0
2014-09-09,14,0.0,0
2014-09-10,5,0.0,0
2014-09-11,10,0.0,0
2014-09-12,2,0.0,0
2014-09-13,7,0.0,0
2014-09-14,0,0.0,0
2014-09-15,2,0.0,0
2014-09-16,9,0.0,0
2014-09-17,15,0.0,0
2014-09-18,11,0.0,0
2014-09-19,8,0.0,0
2014-09-20,13,0.0,0
2014-09-21,6,0.0,0
2014-09-22,9,1.0,0
2014-09-23,7,-0.6000000000000001,0
2014-09-24,19,-0.12,0
2014-09-25,2,-0.055999999999999994,0
2014-09-26,0,-0.03359999999999997,0
2014-09-27,1,-0.022848000000000004,0
2014-09-28,0,-0.01675520000000001,0
2014-09-29,8,-0.012925440000000009,0
2014-09-30,19,-0.01034035200000001,0
2014-10-01,18,-0.00850206720000001,0
2014-10-02,15,0.0,0
2014-10-03,3,2.0,0
2014-10-04,1,-1.2000000000000002,0
2014-10-05,6,-0.24,0
2014-10-06,7,-0.11199999999999999,0
2014-10-07,10,-0.06719999999999994,0
2014-10-08,4,0.954304,0
2014-10-09,4,-0.6335104000000001,0
2014-10-10,5,-0.14585088000000002,0
2014-10-11,2,-0.07668070400000002,0
2014-10-12,1,-0.050604134399999987,0
2014-10-13,4,-0.022848000000000004,0
2014-10-14,1,-0.01675520000000001,0
2014-10-15,10,-0.012925440000000009,0
2014-10-16,3,-0.01034035200000001,0
2014-10-17,2,-0.00850206720000001,0
2014-10-18,1,0.0,0
2014-10-19,3,0.0,0
2014-10-20,4,0.0,0
2014-10-21,0,0.0,0
2014-10-22,1,0.0,0
2014-10-23,4,0.0,0
2014-10-24,6,0.0,0
2014-10-25,1,0.0,0
2014-10-26,1,0.0,0
2014-10-27,1,0.0,0
2014-10-28,7,0.0,4
2014-10-29,2,0.0,1
2014-10-30,1,0.0,0
2014-10-31,0,0.0,0
2014-11-01,0,0.0,0
2014-11-02,2,1.0,0
2014-11-03,2,-0.6000000000000001,3
2014-11-04,0,-0.12,10
2014-11-05,0,-0.055999999999999994,1
2014-11-06,9,-0.03359999999999997,0
2014-11-07,8,-0.022848000000000004,0
2014-11-08,6,-0.01675520000000001,1
2014-11-09,1,-0.012925440000000009,1
2014-11-10,3,-0.01034035200000001,6
2014-11-11,13,-0.00850206720000001,0
2014-11-12,9,0.0,1
2014-11-13,4,0.0,0
2014-11-14,14,0.0,0
2014-11-15,1,0.0,0
2014-11-16,0,0.0,0
2014-11-17,7,0.0,5
2014-11-18,3,0.0,0
2014-11-19,6,0.0,0
2014-11-20,9,0.0,0
2014-11-21,8,0.0,2
2014-11-22,1,0.0,1
2014-11-23,1,0.0,3
2014-11-24,6,0.0,0
2014-11-25,1,0.0,0
2014-11-26,5,0.0,0
2014-11-27,9,0.0,0
2014-11-28,4,0.0,0
2014-11-29,0,0.0,0
2014-11-30,0,0.0,0
2014-12-01,2,0.0,0
2014-12-02,6,0.0,0
2014-12-03,0,0.0,5
2014-12-04,1,0.0,3
2014-12-05,0,0.0,0
2014-12-06,0,0.0,1
2014-12-07,0,1.0,6
2014-12-08,1,-0.6000000000000001,2
2014-12-09,2,-0.12,1
2014-12-10,2,-0.055999999999999994,0
2014-12-11,6,-0.03359999999999997,2
2014-12-12,0,-0.022848000000000004,11
2014-12-13,0,-0.01675520000000001,0
2014-12-14,0,-0.012925440000000009,0
2014-12-15,18,-0.01034035200000001,1
2014-12-16,8,-0.00850206720000001,2
2014-12-17,6,0.0,5
2014-12-18,5,0.0,6
2014-12-19,11,0.0,3
2014-12-20,0,0.0,1
2014-12-21,0,0.0,1
2014-12-22,1,1.0,3
2014-12-23,2,-0.6000000000000001,4
2014-12-24,1,-0.12,16
2014-12-25,0,-0.055999999999999994,6
2014-12-26,3,-0.03359999999999997,2
2014-12-27,0,-0.022848000000000004,3
2014-12-28,4,-0.01675520000000001,6
2014-12-29,6,-0.012925440000000009,4
2014-12-30,17,-0.01034035200000001,13
2014-12-31,11,-0.00850206720000001,2
2015-01-01,4,0.0,4
2015-01-02,0,0.0,3
2015-01-03,0,0.0,11
2015-01-04,18,0.0,5
2015-01-05,14,0.0,7
2015-01-06,12,0.0,1
2015-01-07,5,0.0,1
2015-01-08,16,0.0,2
2015-01-09,7,0.0,0
2015-01-10,1,0.0,0
2015-01-11,4,0.0,0
2015-01-12,17,0.0,13
2015-01-13,2,0.0,5
2015-01-14,12,0.0,6
2015-01-15,9,0.0,3
2015-01-16,24,0.0,0
2015-01-17,6,0.0,5
2015-01-18,6,0.0,2
2015-01-19,8,0.0,3
2015-01-20,11,0.0,0
2015-01-21,13,0.0,0
2015-01-22,2,0.0,0
2015-01-23,3,0.0,5
2015-01-24,0,0.0,2
2015-01-25,2,0.0,4
2015-01-26,10,0.0,1
2015-01-27,11,0.0,1
2015-01-28,14,0.0,0
2015-01-29,6,0.0,0
2015-01-30,8,0.0,0
2015-01-31,1,0.0,0
2015-02-01,8,0.0,3
2015-02-02,13,0.0,0
2015-02-03,18,0.0,0
2015-02-04,19,0.0,0
2015-02-05,15,0.0,2
2015-02-06,15,0.0,4
2015-02-07,11,0.0,1
2015-02-08,6,0.0,0
2015-02-09,4,0.0,1
2015-02-10,6,0.0,2
2015-02-11,8,0.0,0
2015-02-12,8,0.0,0
2015-02-13,10,0.0,0
2015-02-14,3,0.0,0
2015-02-15,17,0.0,0
2015-02-16,4,0.0,0
2015-02-17,3,0.0,0
2015-02-18,11,0.0,1
2015-02-19,3,0.0,0
2015-02-20,8,0.0,0
2015-02-21,2,0.0,0
2015-02-22,6,0.0,0
2015-02-23,18,0.0,0
2015-02-24,6,4.0,0
2015-02-25,8,-2.4000000000000004,0
2015-02-26,9,-0.48,1
2015-02-27,2,-0.22399999999999998,0
2015-02-28,17,-0.13439999999999988,1
2015-03-01,3,-0.09139200000000001,1
2015-03-02,6,-0.06702080000000003,1
2015-03-03,26,-0.051701760000000034,0
2015-03-04,8,-0.04136140800000004,0
2015-03-05,16,-0.03400826880000004,0
2015-03-06,4,0.0,0
2015-03-07,22,0.0,0
2015-03-08,0,0.0,3
2015-03-09,3,0.0,0
2015-03-10,19,0.0,0
2015-03-11,12,0.0,0
2015-03-12,13,3.0,0
2015-03-13,8,-1.8000000000000003,0
2015-03-14,4,-0.36,0
2015-03-15,0,-0.16799999999999998,0
2015-03-16,0,12.8992,0
2015-03-17,13,-5.868544000000001,0
2015-03-18,6,-0.8102656000000001,0
2015-03-19,5,13.79322368,0
2015-03-20,11,-7.419821056000002,0
2015-03-21,9,-2.2217302016,0
2015-03-22,8,-0.7867136000000001,0
2015-03-23,8,-1.3928371199999998,3
2015-03-24,12,-0.6121538560000002,2
2015-03-25,24,1.6071143423999996,0
2015-03-26,14,-2.3836534784000003,0
2015-03-27,9,1.2499675136,0
2015-03-28,10,0.34913658879999954,1
2015-03-29,20,7.3475590144,11
2015-03-30,16,-5.8879094784,5
2015-03-31,10,-1.3497355264,1
2015-04-01,9,-0.6745147391999999,0
2015-04-02,8,3.5788704768,2
2015-04-03,0,-2.6904994816000003,3
2015-04-04,2,2.322671616,9
2015-04-05,0,-2.1780137984000003,8
2015-04-06,5,0.3955326976,4
2015-04-07,9,-0.9359106048000001,2
2015-04-08,5,-0.28782079999999993,0
2015-04-09,5,-0.17624576000000003,0
2015-04-10,11,0.874772992,2
2015-04-11,0,-0.6956325888000001,0
2015-04-12,20,-0.167776256,0
2015-04-13,10,-0.09443164160000003,0
2015-04-14,5,-0.04394035199999998,0
2015-04-15,16,-0.03135006720000001,0
2015-04-16,3,-0.01675520000000001,0
2015-04-17,1,-0.012925440000000009,0
2015-04-18,0,-0.01034035200000001,0
2015-04-19,14,-0.00850206720000001,0
2015-04-20,25,0.0,1
2015-04-21,11,0.0,0
2015-04-22,15,0.0,0
2015-04-23,11,0.0,8
2015-04-24,6,0.0,1
2015-04-25,7,0.0,8
2015-04-26,9,0.0,0
2015-04-27,14,0.0,3
2015-04-28,13,0.0,0
2015-04-29,31,0.0,0
2015-04-30,9,0.0,0
2015-05-01,11,0.0,6
2015-05-02,6,0.0,0
2015-05-03,1,0.0,3
2015-05-04,5,0.0,3
2015-05-05,14,1.0,6
2015-05-06,6,-0.6000000000000001,0
2015-05-07,8,-0.12,0
2015-05-08,5,0.944,0
2015-05-09,7,-0.6336,0
2015-05-10,2,0.857152,0
2015-05-11,5,-0.6727552000000001,0
2015-05-12,4,-0.16652543999999997,0
2015-05-13,10,-0.089188352,0
2015-05-14,5,-0.05885726719999999,0
2015-05-15,5,-0.03577344000000001,0
2015-05-16,4,-0.027095552000000016,6
2015-05-17,3,-0.02142750720000002,0
2015-05-18,12,-0.01034035200000001,8
2015-05-19,7,-0.00850206720000001,5
2015-05-20,6,0.0,2
2015-05-21,5,0.0,0
2015-05-22,2,0.0,0
2015-05-23,1,0.0,0
2015-05-24,0,0.0,0
2015-05-25,8,0.0,6
2015-05-26,2,0.0,1
2015-05-27,5,0.0,5
2015-05-28,3,0.0,5
2015-05-29,4,0.0,3
2015-05-30,0,0.0,4
2015-05-31,0,0.0,1
