,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2015-05-20,5,1,0
2015-05-21,10,9,0
2015-05-22,0,15,0
2015-05-23,8,5,0
2015-05-24,0,2,0
2015-05-25,0,7,0
2015-05-26,0,6,0
2015-05-27,0,10,0
2015-05-28,0,11,0
2015-05-29,0,5,0
2015-05-30,0,0,0
2015-05-31,1,0,0
2015-06-01,7,1,0
2015-06-02,1,13,0
2015-06-03,17,3,2
2015-06-04,12,21,0
2015-06-05,6,11,0
2015-06-06,8,1,0
2015-06-07,7,7,0
2015-06-08,12,3,0
2015-06-09,11,9,0
2015-06-10,14,0,0
2015-06-11,9,4,0
2015-06-12,13,0,0
2015-06-13,40,0,0
2015-06-14,5,0,0
2015-06-15,13,4,0
2015-06-16,1,7,0
2015-06-17,10,7,0
2015-06-18,16,10,0
2015-06-19,5,8,0
2015-06-20,1,0,0
2015-06-21,2,0,0
2015-06-22,0,0,0
2015-06-23,10,6,7
2015-06-24,6,4,2
2015-06-25,4,6,13
2015-06-26,11,4,0
2015-06-27,4,0,0
2015-06-28,3,0,0
2015-06-29,7,2,4
2015-06-30,12,2,6
2015-07-01,3,4,11
2015-07-02,8,9,0
2015-07-03,14,1,0
2015-07-04,7,1,0
2015-07-05,16,0,0
2015-07-06,11,6,4
2015-07-07,1,8,1
2015-07-08,1,5,5
2015-07-09,9,2,0
2015-07-10,4,3,2
2015-07-11,8,1,0
2015-07-12,0,0,0
2015-07-13,6,2,2
2015-07-14,7,14,4
2015-07-15,3,6,1
2015-07-16,3,4,1
2015-07-17,0,7,0
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,10,2,0
2015-07-21,3,1,0
2015-07-22,12,2,2
2015-07-23,1,4,1
2015-07-24,14,1,1
2015-07-25,1,0,0
2015-07-26,10,0,0
2015-07-27,5,4,1
2015-07-28,8,15,0
2015-07-29,9,12,0
2015-07-30,10,8,0
2015-07-31,6,9,0
2015-08-01,10,3,0
2015-08-02,2,0,0
2015-08-03,10,5,4
2015-08-04,10,1,2
2015-08-05,7,1,1
2015-08-06,16,6,3
2015-08-07,25,0,2
2015-08-08,5,0,0
2015-08-09,0,0,0
2015-08-10,9,1,0
2015-08-11,9,6,1
2015-08-12,0,0,0
2015-08-13,10,0,0
2015-08-14,7,0,0
2015-08-15,7,0,0
2015-08-16,2,0,0
2015-08-17,5,4,2
2015-08-18,2,1,0
2015-08-19,0,0,0
2015-08-20,14,0,1
2015-08-21,35,0,0
2015-08-22,2,4,0
2015-08-23,4,1,0
2015-08-24,11,1,1
2015-08-25,8,0,2
2015-08-26,0,1,2
2015-08-27,7,3,0
2015-08-28,15,6,0
2015-08-29,0,1,0
2015-08-30,0,3,0
2015-08-31,0,10,0
2015-09-01,0,3,3
2015-09-02,0,1,2
2015-09-03,0,2,2
2015-09-04,0,7,2
2015-09-05,0,1,0
2015-09-06,0,2,0
2015-09-07,0,2,0
2015-09-08,6,6,0
2015-09-09,5,6,0
2015-09-10,6,1,1
2015-09-11,11,1,1
2015-09-12,11,0,0
2015-09-13,4,1,0
2015-09-14,15,4,0
2015-09-15,5,21,0
