,pytorch/pytorch,google/flax,deepmind/dm-haiku
2020-01-22,24,1,1
2020-01-23,22,4,0
2020-01-24,19,4,0
2020-01-25,11,2,0
2020-01-26,5,0,0
2020-01-27,16,0,0
2020-01-28,26,0,10
2020-01-29,39,0,1
2020-01-30,24,0,1
2020-01-31,20,0,0
2020-02-01,12,0,0
2020-02-02,4,0,0
2020-02-03,20,0,0
2020-02-04,29,0,1
2020-02-05,21,0,0
2020-02-06,11,0,1
2020-02-07,16,1,2
2020-02-08,3,0,0
2020-02-09,1,0,0
2020-02-10,14,0,1
2020-02-11,19,0,4
2020-02-12,35,0,2
2020-02-13,32,0,1
2020-02-14,32,0,1
2020-02-15,8,0,0
2020-02-16,3,0,0
2020-02-17,8,2,11
2020-02-18,23,0,10
2020-02-19,27,0,6
2020-02-20,32,0,13
2020-02-21,32,15,3
2020-02-22,10,0,4
2020-02-23,2,0,0
2020-02-24,18,1,8
2020-02-25,44,1,4
2020-02-26,24,0,1
2020-02-27,44,0,7
2020-02-28,35,7,2
2020-02-29,14,0,6
2020-03-01,4,0,2
2020-03-02,31,0,10
2020-03-03,48,5,5
2020-03-04,44,6,3
2020-03-05,20,9,2
2020-03-06,39,9,5
2020-03-07,10,2,1
2020-03-08,1,1,1
2020-03-09,27,21,2
2020-03-10,35,15,0
2020-03-11,28,14,0
2020-03-12,37,13,1
2020-03-13,34,15,2
2020-03-14,18,0,0
2020-03-15,10,0,1
2020-03-16,24,24,4
2020-03-17,38,7,2
2020-03-18,41,10,1
2020-03-19,40,13,5
2020-03-20,32,11,4
2020-03-21,32,4,9
2020-03-22,9,5,6
2020-03-23,26,24,4
2020-03-24,54,13,3
2020-03-25,42,12,3
2020-03-26,43,19,5
2020-03-27,57,20,5
2020-03-28,25,15,0
2020-03-29,9,14,1
2020-03-30,29,9,4
2020-03-31,34,27,2
2020-04-01,49,21,0
2020-04-02,35,17,3
2020-04-03,40,2,0
2020-04-04,17,0,0
2020-04-05,3,0,0
2020-04-06,23,1,1
2020-04-07,31,13,1
2020-04-08,41,2,0
2020-04-09,44,2,1
2020-04-10,44,14,0
2020-04-11,17,3,0
2020-04-12,5,3,0
2020-04-13,21,4,0
2020-04-14,44,1,0
2020-04-15,32,4,1
2020-04-16,42,4,0
2020-04-17,32,11,1
2020-04-18,17,0,0
2020-04-19,8,0,0
2020-04-20,31,3,0
2020-04-21,44,1,2
2020-04-22,44,1,0
2020-04-23,35,5,4
2020-04-24,31,3,2
2020-04-25,34,0,2
2020-04-26,10,2,1
2020-04-27,32,1,0
2020-04-28,21,2,1
2020-04-29,56,7,0
2020-04-30,40,1,1
2020-05-01,35,0,1
2020-05-02,6,0,0
2020-05-03,4,0,0
2020-05-04,35,3,4
2020-05-05,63,5,0
2020-05-06,59,0,3
2020-05-07,52,9,0
2020-05-08,56,5,0
2020-05-09,17,0,0
2020-05-10,3,3,0
2020-05-11,27,6,2
2020-05-12,47,13,1
2020-05-13,49,3,0
2020-05-14,59,5,5
2020-05-15,42,7,1
2020-05-16,9,0,1
2020-05-17,2,0,0
2020-05-18,34,5,2
2020-05-19,43,5,9
2020-05-20,36,2,13
2020-05-21,37,1,6
2020-05-22,11,0,1
2020-05-23,0,0,2
2020-05-24,0,1,2
2020-05-25,0,4,2
2020-05-26,35,3,2
2020-05-27,43,8,6
2020-05-28,40,10,3
2020-05-29,35,9,0
2020-05-30,7,0,0
2020-05-31,2,1,0
2020-06-01,27,0,0
2020-06-02,42,2,4
2020-06-03,24,4,0
2020-06-04,38,8,2
2020-06-05,19,2,1
2020-06-06,7,0,1
2020-06-07,22,0,0
2020-06-08,22,0,1
2020-06-09,35,6,1
2020-06-10,33,1,0
2020-06-11,37,0,4
2020-06-12,39,1,1
2020-06-13,10,0,1
2020-06-14,7,0,0
2020-06-15,18,0,0
2020-06-16,57,0,0
2020-06-17,42,1,3
2020-06-18,47,1,1
2020-06-19,42,2,0
2020-06-20,17,0,0
2020-06-21,7,0,0
2020-06-22,37,2,0
2020-06-23,55,0,1
2020-06-24,49,2,4
2020-06-25,22,2,1
2020-06-26,30,2,2
2020-06-27,11,1,0
2020-06-28,7,0,1
2020-06-29,13,4,1
2020-06-30,35,1,2
2020-07-01,18,0,1
2020-07-02,27,1,0
2020-07-03,14,3,1
2020-07-04,6,0,0
2020-07-05,1,0,0
2020-07-06,27,1,1
2020-07-07,31,0,0
2020-07-08,34,2,2
2020-07-09,41,2,0
2020-07-10,27,0,0
2020-07-11,13,0,0
2020-07-12,3,6,0
2020-07-13,15,0,1
2020-07-14,21,1,1
2020-07-15,36,3,2
2020-07-16,43,6,1
2020-07-17,30,5,0
2020-07-18,10,3,0
2020-07-19,3,0,0
2020-07-20,15,4,1
2020-07-21,18,5,1
2020-07-22,29,3,0
2020-07-23,32,3,1
2020-07-24,22,0,2
2020-07-25,7,0,0
2020-07-26,5,0,1
2020-07-27,21,0,1
2020-07-28,47,0,0
2020-07-29,24,0,3
2020-07-30,26,1,0
2020-07-31,22,0,1
2020-08-01,13,0,1
2020-08-02,3,0,0
2020-08-03,16,1,1
2020-08-04,44,4,0
2020-08-05,42,0,3
2020-08-06,41,1,0
2020-08-07,31,5,1
2020-08-08,15,0,1
2020-08-09,1,0,2
2020-08-10,14,1,0
2020-08-11,35,17,0
2020-08-12,29,15,1
2020-08-13,25,4,1
2020-08-14,43,17,1
2020-08-15,8,0,0
